C,N,Vb,Vc,Fat,cellulose,Weightgain
0.383166467,0.018631924,0.150607531,0.064573623,0.613646709,-0.334240945,0.0881
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362,0.1291
-0.33989448,1.263965689,-0.650456143,-0.846847,-0.282389923,-0.797875159,0.0581
-1.062955428,-0.915368399,-0.294427843,0.064573623,1.509683342,1.474441976,0.0531
-1.062955428,1.263965689,0.150607531,-0.391136688,-0.73040824,-0.308766538,0.178
3.275410258,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159,0.0612
0.383166467,-0.604034958,-0.650456143,-0.846847,1.509683342,0.27204995,0.1148
1.829288363,-1.226701841,-0.650456143,-0.391136688,0.613646709,-0.262912604,0.0355
1.829288363,-0.915368399,0.150607531,-0.846847,-0.282389923,-0.538036204,0.0343
-0.33989448,1.263965689,3.710890527,0.064573623,-0.282389923,-0.797875159,0.1422
-0.701424954,1.263965689,-0.294427843,-0.846847,0.613646709,-0.512561796,0.1349
-1.062955428,-0.915368399,-0.294427843,0.064573623,1.509683342,1.474441976,0.046
0.383166467,1.263965689,-0.739463218,-0.755704938,-0.282389923,-1.256414491,0.1587
-0.33989448,0.018631924,1.930749029,-0.846847,-0.73040824,0.124298387,0.1586
1.829288363,-0.915368399,0.150607531,-0.846847,-0.282389923,-0.538036204,0.0665
-0.33989448,1.263965689,-0.650456143,0.064573623,-1.178426556,-0.797875159,0.1642
-0.701424954,-1.226701841,1.930749029,0.064573623,-0.282389923,1.34706994,0.0597
-1.062955428,-0.604034958,1.930749029,-0.755704938,0.613646709,1.138179799,0.0643
-1.062955428,-0.604034958,1.930749029,-0.755704938,0.613646709,1.138179799,0.072
1.829288363,-1.226701841,-0.650456143,-0.391136688,0.613646709,-0.262912604,0.0448
0.383166467,0.018631924,0.150607531,0.064573623,0.613646709,-0.334240945,0.1229
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362,0.1057
-1.062955428,1.263965689,0.150607531,-0.391136688,-0.73040824,-0.308766538,0.1706
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163,0.1422
1.829288363,0.018631924,-0.294427843,-0.755704938,-1.178426556,-1.281888898,0.106
-0.33989448,1.263965689,-0.650456143,0.064573623,-1.178426556,-0.797875159,0.1666
-1.062955428,-0.604034958,1.930749029,-0.755704938,0.613646709,1.138179799,0.1299
-0.33989448,1.263965689,-0.650456143,0.064573623,-1.178426556,-0.797875159,0.1524
-0.33989448,-1.226701841,0.150607531,-0.755704938,1.509683342,1.240077429,0.0361
3.275410258,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159,0.0509
-1.062955428,-0.604034958,1.930749029,-0.755704938,0.613646709,1.138179799,0.0793
-0.701424954,-0.604034958,0.150607531,1.88741487,-1.178426556,0.837581793,0.1354
-0.33989448,1.263965689,-0.650456143,0.064573623,4.197793241,-0.797875159,0.0549
3.275410258,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159,0.0503
-0.701424954,-0.604034958,0.150607531,1.88741487,-1.178426556,0.837581793,0.1122
1.829288363,-0.604034958,-0.739463218,0.064573623,-0.73040824,-0.792780277,0.0793
-0.33989448,-0.915368399,-0.739463218,1.88741487,0.613646709,0.888530607,0.0606
-0.701424954,-1.226701841,1.930749029,0.064573623,-0.282389923,1.34706994,0.0357
1.106227415,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159,0.1624
0.383166467,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159,0.2017
-0.33989448,1.263965689,-0.650456143,-0.846847,-0.282389923,-0.797875159,0.0688
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362,0.1316
-0.33989448,-0.915368399,-0.739463218,1.88741487,0.613646709,0.888530607,0.1067
-1.062955428,-1.226701841,-0.739463218,-0.846847,-1.178426556,1.805609272,0.0515
-0.33989448,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159,0.1757
-1.062955428,-0.915368399,-0.294427843,0.064573623,1.509683342,1.474441976,0.088
-1.062955428,-0.604034958,1.930749029,-0.755704938,0.613646709,1.138179799,0.153
-1.062955428,-1.226701841,-0.739463218,-0.846847,-1.178426556,1.805609272,0.0424
-0.33989448,1.263965689,-0.650456143,3.710256118,-0.282389923,-0.797875159,0.1697
-0.33989448,1.263965689,-0.650456143,-0.846847,-0.282389923,-0.797875159,0.0544
-0.33989448,1.263965689,-0.650456143,-0.755704938,-0.282389923,-0.797875159,0.1303
-0.701424954,0.018631924,-0.739463218,-0.391136688,1.509683342,0.506414497,0.1941
-1.062955428,-0.604034958,1.930749029,-0.755704938,0.613646709,1.138179799,0.1154
-1.062955428,-1.226701841,-0.739463218,-0.846847,-1.178426556,1.805609272,0.0449
0.383166467,-0.604034958,-0.650456143,-0.846847,1.509683342,0.27204995,0.0768
-0.33989448,1.263965689,-0.650456143,0.064573623,1.509683342,-0.797875159,0.0728
1.829288363,0.018631924,-0.294427843,-0.755704938,-1.178426556,-1.281888898,0.1336
1.829288363,0.018631924,-0.294427843,-0.755704938,-1.178426556,-1.281888898,0.1073
-0.701424954,1.263965689,-0.294427843,-0.846847,0.613646709,-0.512561796,0.1332
-0.701424954,1.263965689,-0.294427843,-0.846847,0.613646709,-0.512561796,0.1623
1.829288363,1.263965689,1.930749029,1.88741487,1.509683342,-2.575988791,0.0527
0.383166467,-0.915368399,1.930749029,-0.391136688,-1.178426556,0.353568053,0.1122
0.383166467,0.018631924,0.150607531,0.064573623,0.613646709,-0.334240945,0.0929
-1.062955428,-0.604034958,1.930749029,-0.755704938,0.613646709,1.138179799,0.1006
0.383166467,0.018631924,0.150607531,0.064573623,0.613646709,-0.334240945,0.0876
-1.062955428,0.018631924,-0.650456143,1.88741487,-0.282389923,0.628691653,0.0839
1.829288363,-0.915368399,0.150607531,-0.846847,-0.282389923,-0.538036204,0.0737
-0.33989448,1.263965689,-0.650456143,0.064573623,-1.178426556,-0.797875159,0.1797
-0.701424954,-0.604034958,0.150607531,1.88741487,-1.178426556,0.837581793,0.0776
