C,N,Vb,Vc,Fat,cellulose
-0.33989448,-0.915368399,-0.739463218,1.88741487,0.613646709,0.888530607
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362
1.829288363,0.018631924,-0.294427843,-0.755704938,-1.178426556,-1.281888898
-0.33989448,0.018631924,1.930749029,-0.846847,-0.73040824,0.124298387
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163
-0.701424954,-0.604034958,0.150607531,1.88741487,-1.178426556,0.837581793
0.383166467,1.263965689,-0.739463218,-0.755704938,-0.282389923,-1.256414491
-0.33989448,1.263965689,3.710890527,0.064573623,-0.282389923,-0.797875159
-1.062955428,1.263965689,0.150607531,-0.391136688,-0.73040824,-0.308766538
-0.701424954,-0.604034958,0.150607531,1.88741487,-1.178426556,0.837581793
-0.701424954,0.018631924,-0.739463218,-0.391136688,1.509683342,0.506414497
1.106227415,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159
-0.33989448,1.263965689,-0.650456143,0.064573623,-0.282389923,-0.797875159
0.383166467,-0.604034958,-0.650456143,-0.846847,1.509683342,0.27204995
0.383166467,-1.226701841,-0.294427843,1.88741487,-0.73040824,0.608312127
-0.33989448,1.263965689,3.710890527,0.064573623,-0.282389923,-0.797875159
-0.701424954,1.263965689,-0.294427843,-0.846847,0.613646709,-0.512561796
-0.701424954,-1.226701841,1.930749029,0.064573623,-0.282389923,1.34706994
-0.33989448,1.263965689,0.150607531,0.064573623,-0.282389923,-0.797875159
-0.33989448,1.263965689,-0.650456143,0.064573623,-1.178426556,-0.797875159
-0.33989448,-0.915368399,-0.739463218,1.88741487,0.613646709,0.888530607
-1.062955428,0.018631924,-0.650456143,1.88741487,-0.282389923,0.628691653
0.383166467,-1.226701841,-0.294427843,1.88741487,-0.73040824,0.608312127
1.829288363,-0.915368399,0.150607531,-0.846847,-0.282389923,-0.538036204
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362
-0.701424954,0.018631924,-0.739463218,-0.391136688,1.509683342,0.506414497
1.829288363,-0.915368399,0.150607531,-0.846847,-0.282389923,-0.538036204
-0.701424954,1.263965689,-0.294427843,-0.846847,0.613646709,-0.512561796
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163
0.383166467,-0.915368399,1.930749029,-0.391136688,-1.178426556,0.353568053
-1.062955428,0.018631924,-0.650456143,1.88741487,-0.282389923,0.628691653
-0.33989448,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159
1.106227415,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159
-0.701424954,1.263965689,-0.294427843,-0.846847,0.613646709,-0.512561796
-0.701424954,0.018631924,-0.739463218,-0.391136688,1.509683342,0.506414497
-1.062955428,-0.915368399,-0.294427843,0.064573623,1.509683342,1.474441976
-0.33989448,0.018631924,1.930749029,-0.846847,-0.73040824,0.124298387
-0.33989448,1.263965689,-0.739463218,0.064573623,-0.282389923,-0.797875159
0.383166467,-0.915368399,1.930749029,-0.391136688,-1.178426556,0.353568053
-0.33989448,-1.226701841,0.150607531,-0.755704938,1.509683342,1.240077429
-0.33989448,0.018631924,1.930749029,-0.846847,-0.73040824,0.124298387
-0.701424954,1.263965689,-0.294427843,-0.846847,0.613646709,-0.512561796
0.383166467,-1.226701841,-0.294427843,1.88741487,-0.73040824,0.608312127
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362
1.829288363,-1.226701841,-0.650456143,-0.391136688,0.613646709,-0.262912604
0.383166467,0.018631924,0.150607531,0.064573623,0.613646709,-0.334240945
1.829288363,-1.226701841,-0.650456143,-0.391136688,0.613646709,-0.262912604
0.383166467,-0.604034958,-0.650456143,-0.846847,1.509683342,0.27204995
0.383166467,-1.226701841,-0.294427843,1.88741487,-0.73040824,0.608312127
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163
0.383166467,0.018631924,0.150607531,0.064573623,0.613646709,-0.334240945
-0.701424954,1.263965689,-0.294427843,-0.846847,0.613646709,-0.512561796
-0.701424954,0.018631924,-0.739463218,-0.391136688,1.509683342,0.506414497
-1.062955428,-0.604034958,1.930749029,-0.755704938,0.613646709,1.138179799
3.275410258,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159
-1.062955428,0.018631924,-0.650456143,1.88741487,-0.282389923,0.628691653
-0.33989448,1.263965689,-0.650456143,0.064573623,1.509683342,-0.797875159
0.383166467,-0.604034958,-0.650456143,-0.846847,1.509683342,0.27204995
-1.062955428,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159
0.383166467,-0.604034958,-0.650456143,-0.846847,1.509683342,0.27204995
-0.33989448,1.263965689,-0.650456143,-0.755704938,-0.282389923,-0.797875159
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163
-0.33989448,1.263965689,-0.650456143,0.064573623,0.613646709,-0.797875159
0.383166467,1.263965689,-0.739463218,-0.755704938,-0.282389923,-1.256414491
0.383166467,-0.604034958,-0.650456143,-0.846847,1.509683342,0.27204995
-0.701424954,1.263965689,-0.294427843,-0.846847,0.613646709,-0.512561796
-0.33989448,1.263965689,-0.650456143,0.064573623,-1.178426556,-0.797875159
1.829288363,-0.604034958,-0.739463218,0.064573623,-0.73040824,-0.792780277
-0.701424954,0.018631924,-0.739463218,-0.391136688,1.509683342,0.506414497
1.829288363,-1.226701841,-0.650456143,-0.391136688,0.613646709,-0.262912604
0.383166467,-0.604034958,-0.650456143,-0.846847,1.509683342,0.27204995
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362
0.383166467,-1.226701841,-0.294427843,1.88741487,-0.73040824,0.608312127
-0.701424954,-1.226701841,1.930749029,0.064573623,-0.282389923,1.34706994
-0.33989448,0.018631924,1.930749029,-0.846847,-0.73040824,0.124298387
-0.33989448,1.263965689,-0.650456143,-0.846847,-0.282389923,-0.797875159
-0.701424954,0.018631924,-0.739463218,-0.391136688,1.509683342,0.506414497
-0.33989448,1.263965689,-0.650456143,-0.755704938,-0.282389923,-0.797875159
1.829288363,-0.604034958,-0.739463218,0.064573623,-0.73040824,-0.792780277
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362
1.829288363,-0.915368399,0.150607531,-0.846847,-0.282389923,-0.538036204
-0.33989448,1.263965689,-0.650456143,0.064573623,0.613646709,-0.797875159
1.829288363,0.018631924,-0.294427843,-0.755704938,-1.178426556,-1.281888898
-0.701424954,0.018631924,-0.739463218,-0.391136688,1.509683342,0.506414497
-0.33989448,1.263965689,-0.650456143,0.064573623,-0.282389923,-0.797875159
0.383166467,1.263965689,-0.739463218,-0.755704938,-0.282389923,-1.256414491
-0.33989448,1.263965689,-0.650456143,0.064573623,-1.178426556,-0.797875159
-0.701424954,-0.604034958,0.150607531,1.88741487,-1.178426556,0.837581793
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163
-1.062955428,1.263965689,0.150607531,-0.391136688,-0.73040824,-0.308766538
0.383166467,-0.915368399,1.930749029,-0.391136688,-1.178426556,0.353568053
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362
-1.062955428,0.018631924,-0.650456143,1.88741487,-0.282389923,0.628691653
-0.33989448,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159
3.275410258,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159
-1.062955428,1.263965689,0.150607531,-0.391136688,-0.73040824,-0.308766538
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362
-1.062955428,-1.226701841,-0.739463218,-0.846847,-1.178426556,1.805609272
-0.33989448,-0.915368399,-0.739463218,1.88741487,0.613646709,0.888530607
0.383166467,-0.915368399,1.930749029,-0.391136688,-1.178426556,0.353568053
0.383166467,-0.915368399,1.930749029,-0.391136688,-1.178426556,0.353568053
-1.062955428,-0.915368399,-0.294427843,0.064573623,1.509683342,1.474441976
0.383166467,1.263965689,-0.650456143,-0.391136688,-0.282389923,-0.797875159
-0.33989448,-0.604034958,-0.294427843,-0.391136688,-0.282389923,0.735684163
-0.33989448,1.263965689,-0.650456143,0.064573623,4.197793241,-0.797875159
0.383166467,-1.226701841,-0.294427843,1.88741487,-0.73040824,0.608312127
-0.33989448,1.263965689,-0.650456143,0.064573623,1.509683342,-0.797875159
-0.33989448,1.263965689,-0.650456143,3.710256118,-0.282389923,-0.797875159
-0.701424954,-0.604034958,0.150607531,1.88741487,-1.178426556,0.837581793
-0.701424954,-1.226701841,1.930749029,0.064573623,-0.282389923,1.34706994
-0.33989448,1.263965689,-0.650456143,0.064573623,-1.178426556,-0.797875159
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362
-0.701424954,0.018631924,-0.739463218,-0.391136688,1.509683342,0.506414497
0.383166467,0.018631924,0.150607531,0.064573623,0.613646709,-0.334240945
-0.701424954,-0.915368399,-0.650456143,-0.755704938,-0.73040824,1.285931362
-1.062955428,1.263965689,0.150607531,-0.391136688,-0.73040824,-0.308766538
1.829288363,-1.226701841,-0.650456143,-0.391136688,0.613646709,-0.262912604
0.383166467,-0.915368399,1.930749029,-0.391136688,-1.178426556,0.353568053
-1.062955428,1.263965689,0.150607531,-0.391136688,-0.73040824,-0.308766538
1.829288363,-0.604034958,-0.739463218,0.064573623,-0.73040824,-0.792780277
-1.062955428,-0.915368399,-0.294427843,0.064573623,1.509683342,1.474441976
1.829288363,-0.915368399,0.150607531,-0.846847,-0.282389923,-0.538036204
1.829288363,-1.226701841,-0.650456143,-0.391136688,0.613646709,-0.262912604
