C,N,Vb,Vc,Fat,cellulose,Weightgain
20,20,1,1,10,58,0.0881
5,5,0.1,0.1,2.5,89.8,0.1291
10,40,0.1,0,5,48.9,0.0581
0,5,0.5,1,15,93.5,0.0531
0,40,1,0.5,2.5,58.5,0.178
60,40,0.1,0.5,5,48.9,0.0612
20,10,0.1,0,15,69.9,0.1148
40,0,0.1,0.5,10,59.4,0.0355
40,5,1,0,5,54,0.0343
10,40,5,1,5,48.9,0.1422
5,40,0.5,0,10,54.5,0.1349
0,5,0.5,1,15,93.5,0.046
20,40,0,0.1,5,39.9,0.1587
10,20,3,0,2.5,67,0.1586
40,5,1,0,5,54,0.0665
10,40,0.1,1,0,48.9,0.1642
5,0,3,1,5,91,0.0597
0,10,3,0.1,10,86.9,0.0643
0,10,3,0.1,10,86.9,0.072
40,0,0.1,0.5,10,59.4,0.0448
20,20,1,1,10,58,0.1229
5,5,0.1,0.1,2.5,89.8,0.1057
0,40,1,0.5,2.5,58.5,0.1706
10,10,0.5,0.5,5,79,0.1422
40,20,0.5,0.1,0,39.4,0.106
10,40,0.1,1,0,48.9,0.1666
0,10,3,0.1,10,86.9,0.1299
10,40,0.1,1,0,48.9,0.1524
10,0,1,0.1,15,88.9,0.0361
60,40,0.1,0.5,5,48.9,0.0509
0,10,3,0.1,10,86.9,0.0793
5,10,1,3,0,81,0.1354
10,40,0.1,1,30,48.9,0.0549
60,40,0.1,0.5,5,48.9,0.0503
5,10,1,3,0,81,0.1122
40,10,0,1,2.5,49,0.0793
10,5,0,3,10,82,0.0606
5,0,3,1,5,91,0.0357
30,40,0.1,0.5,5,48.9,0.1624
20,40,0.1,0.5,5,48.9,0.2017
10,40,0.1,0,5,48.9,0.0688
5,5,0.1,0.1,2.5,89.8,0.1316
10,5,0,3,10,82,0.1067
0,0,0,0,0,100,0.0515
10,40,0.1,0.5,5,48.9,0.1757
0,5,0.5,1,15,93.5,0.088
0,10,3,0.1,10,86.9,0.153
0,0,0,0,0,100,0.0424
10,40,0.1,5,5,48.9,0.1697
10,40,0.1,0,5,48.9,0.0544
10,40,0.1,0.1,5,48.9,0.1303
5,20,0,0.5,15,74.5,0.1941
0,10,3,0.1,10,86.9,0.1154
0,0,0,0,0,100,0.0449
20,10,0.1,0,15,69.9,0.0768
10,40,0.1,1,15,48.9,0.0728
40,20,0.5,0.1,0,39.4,0.1336
40,20,0.5,0.1,0,39.4,0.1073
5,40,0.5,0,10,54.5,0.1332
5,40,0.5,0,10,54.5,0.1623
40,40,3,3,15,14,0.0527
20,5,3,0.5,0,71.5,0.1122
20,20,1,1,10,58,0.0929
0,10,3,0.1,10,86.9,0.1006
20,20,1,1,10,58,0.0876
0,20,0.1,3,5,76.9,0.0839
40,5,1,0,5,54,0.0737
10,40,0.1,1,0,48.9,0.1797
5,10,1,3,0,81,0.0776
0,10,3,0.1,10,86.9,0.1061
5,0,3,1,5,91,0.0232
40,20,0.5,0.1,0,39.4,0.084
20,40,0,0.1,5,39.9,0.1268
10,20,3,0,2.5,67,0.0972
0,20,0.1,3,5,76.9,0.1495
40,40,3,3,15,14,0.0504
10,40,0.1,0.1,5,48.9,0.1231
40,10,0,1,2.5,49,0.0984
10,40,0.1,0.5,5,48.9,0.1121
10,40,0.1,1,10,48.9,0.12656
40,5,1,0,5,54,0.0834
20,40,0.1,0.5,5,48.9,0.1746
10,40,0.1,1,5,48.9,0.2396
0,40,1,0.5,2.5,58.5,0.132
0,5,0.5,1,15,93.5,0.1273
5,5,0.1,0.1,2.5,89.8,0.1138
0,5,0.5,1,15,93.5,0.0846
0,0,0,0,0,100,0.0566
40,40,3,3,15,14,0.0427
40,40,3,3,15,14,0.0368
10,40,5,1,5,48.9,0.1417
10,40,0.1,5,5,48.9,0.0997
30,40,0.1,0.5,5,48.9,0.2015
20,5,3,0.5,0,71.5,0.0649
10,0,1,0.1,15,88.9,0.0257
40,10,0,1,2.5,49,0.0517
10,40,0.1,1,5,48.9,0.1735
5,10,1,3,0,81,0.1166
5,20,0,0.5,15,74.5,0.1193
10,20,3,0,2.5,67,0.1768
10,5,0,3,10,82,0.1037
0,20,0.1,3,5,76.9,0.1038
5,5,0.1,0.1,2.5,89.8,0.1088
